"","Freq","Genes"
"SLC22A14",3,"SLC22A14"
"SLC22A3",3,"SLC22A3"
"SLC24A3",3,"SLC24A3"
"SLC25A10",3,"SLC25A10"
"SLC25A11",3,"SLC25A11"
"SLC25A23",3,"SLC25A23"
"SLC25A37",3,"SLC25A37"
"SLC25A38",3,"SLC25A38"
"SLC25A40",3,"SLC25A40"
"SLC25A41",3,"SLC25A41"
"SLC26A5",3,"SLC26A5"
"SLC26A6",3,"SLC26A6"
"SLC27A5",3,"SLC27A5"
"SLC29A1",3,"SLC29A1"
"SLC2A14",3,"SLC2A14"
"SLC2A3",3,"SLC2A3"
"SLC2A4",3,"SLC2A4"
"SLC35A5",3,"SLC35A5"
"SLC35C1",3,"SLC35C1"
"SLC35E3",3,"SLC35E3"
"SLC35G1",3,"SLC35G1"
"SLC35G5",3,"SLC35G5"
"SLC36A1",3,"SLC36A1"
"SLC37A3",3,"SLC37A3"
"SLC38A1",3,"SLC38A1"
"SLC38A10",3,"SLC38A10"
"SLC44A4",3,"SLC44A4"
"SLC45A4",3,"SLC45A4"
"SLC4A1AP",3,"SLC4A1AP"
"SLC52A1",3,"SLC52A1"
"SLC5A6",3,"SLC5A6"
"SLC5A8",3,"SLC5A8"
"SLC6A11",3,"SLC6A11"
"SLC7A2",3,"SLC7A2"
"SLC7A4",3,"SLC7A4"
"SLC8B1",3,"SLC8B1"
"SLC9A8",3,"SLC9A8"
"SLC9B2",3,"SLC9B2"
"SLCO1A2",3,"SLCO1A2"
"SLCO3A1",3,"SLCO3A1"
"SLFN12",3,"SLFN12"
"SMAD3",3,"SMAD3"
"SMAD9",3,"SMAD9"
"SMAP1",3,"SMAP1"
"SMARCAD1",3,"SMARCAD1"
"SMCO3",3,"SMCO3"
"SMCR8",3,"SMCR8"
"SMTNL1",3,"SMTNL1"
"SMYD4",3,"SMYD4"
"SNAP25",3,"SNAP25"
"SNCA",3,"SNCA"
"SNX1",3,"SNX1"
"SNX24",3,"SNX24"
"SNX25",3,"SNX25"
"SNX29",3,"SNX29"
"SOBP",3,"SOBP"
"SOHLH1",3,"SOHLH1"
"SP7",3,"SP7"
"SPACA3",3,"SPACA3"
"SPAG1",3,"SPAG1"
"SPATA7",3,"SPATA7"
"SPATA8",3,"SPATA8"
"SPDL1",3,"SPDL1"
"SPDYE3",3,"SPDYE3"
"SPECC1",3,"SPECC1"
"SPECC1L",3,"SPECC1L"
"SPESP1",3,"SPESP1"
"SPG20",3,"SPG20"
"SPIN4",3,"SPIN4"
"SPP2",3,"SPP2"
"SPPL2A",3,"SPPL2A"
"SPPL2C",3,"SPPL2C"
"SPR",3,"SPR"
"SPRED2",3,"SPRED2"
"SPRR1A",3,"SPRR1A"
"SPRR2G",3,"SPRR2G"
"SPRR3",3,"SPRR3"
"SPRY3",3,"SPRY3"
"SPTLC1",3,"SPTLC1"
"SQLE",3,"SQLE"
"SRD5A2",3,"SRD5A2"
"SRL",3,"SRL"
"SRP54",3,"SRP54"
"SRP72",3,"SRP72"
"SRPK2",3,"SRPK2"
"SRPX",3,"SRPX"
"SRRT",3,"SRRT"
"SRSF4",3,"SRSF4"
"SSH2",3,"SSH2"
"SSPN",3,"SSPN"
"SSRP1",3,"SSRP1"
"SST",3,"SST"
"SSTR2",3,"SSTR2"
"SSTR5",3,"SSTR5"
"SSX7",3,"SSX7"
"ST3GAL4",3,"ST3GAL4"
"ST6GAL1",3,"ST6GAL1"
"ST6GALNAC1",3,"ST6GALNAC1"
"ST6GALNAC5",3,"ST6GALNAC5"
"ST7L",3,"ST7L"
"ST8SIA1",3,"ST8SIA1"
"ST8SIA4",3,"ST8SIA4"
"STAC3",3,"STAC3"
"STAM2",3,"STAM2"
"STARD3",3,"STARD3"
"STAT1",3,"STAT1"
"STAT2",3,"STAT2"
"STAT4",3,"STAT4"
"STAT5B",3,"STAT5B"
"STC2",3,"STC2"
"STEAP1",3,"STEAP1"
"STEAP1B",3,"STEAP1B"
"STEAP2",3,"STEAP2"
"STIL",3,"STIL"
"STIP1",3,"STIP1"
"STK17B",3,"STK17B"
"STK3",3,"STK3"
"STKLD1",3,"STKLD1"
"STRBP",3,"STRBP"
"STX16",3,"STX16"
"STX17",3,"STX17"
"STX2",3,"STX2"
"STX6",3,"STX6"
"STYXL1",3,"STYXL1"
"SUGP1",3,"SUGP1"
"SULT1A1",3,"SULT1A1"
"SULT2A1",3,"SULT2A1"
"SUSD2",3,"SUSD2"
"SUSD3",3,"SUSD3"
"SWI5",3,"SWI5"
"SYCE1",3,"SYCE1"
"SYF2",3,"SYF2"
"SYNDIG1",3,"SYNDIG1"
"SYNGR1",3,"SYNGR1"
"SYNPR",3,"SYNPR"
"SYT3",3,"SYT3"
"SYT7",3,"SYT7"
"SYTL5",3,"SYTL5"
"TAAR1",3,"TAAR1"
"TAB2",3,"TAB2"
"TACC3",3,"TACC3"
"TACR3",3,"TACR3"
"TAF1A",3,"TAF1A"
"TAF1C",3,"TAF1C"
"TAF1D",3,"TAF1D"
"TAF6L",3,"TAF6L"
"TAL1",3,"TAL1"
"TAOK1",3,"TAOK1"
"TAP2",3,"TAP2"
"TARS2",3,"TARS2"
"TAS2R13",3,"TAS2R13"
"TAS2R20",3,"TAS2R20"
"TAS2R31",3,"TAS2R31"
"TAS2R38",3,"TAS2R38"
"TAS2R39",3,"TAS2R39"
"TAS2R40",3,"TAS2R40"
"TAS2R42",3,"TAS2R42"
"TAS2R60",3,"TAS2R60"
"TBC1D12",3,"TBC1D12"
"TBC1D14",3,"TBC1D14"
"TBC1D16",3,"TBC1D16"
"TBC1D25",3,"TBC1D25"
"TBC1D3B",3,"TBC1D3B"
"TBC1D9",3,"TBC1D9"
"TBX2",3,"TBX2"
"TCAF1",3,"TCAF1"
"TCAF2",3,"TCAF2"
"TCEA3",3,"TCEA3"
"TCEAL6",3,"TCEAL6"
"TCERG1",3,"TCERG1"
"TCF25",3,"TCF25"
"TCF7L2",3,"TCF7L2"
"TCL1A",3,"TCL1A"
"TCOF1",3,"TCOF1"
"TCP11",3,"TCP11"
"TCTN2",3,"TCTN2"
"TDRD10",3,"TDRD10"
"TEAD4",3,"TEAD4"
"TEDDM1",3,"TEDDM1"
"TEX13B",3,"TEX13B"
"TEX35",3,"TEX35"
"TF",3,"TF"
"TFAP2A",3,"TFAP2A"
"TFAP2C",3,"TFAP2C"
"TFDP3",3,"TFDP3"
"TFEC",3,"TFEC"
"TFF2",3,"TFF2"
"TFG",3,"TFG"
"TFPI",3,"TFPI"
"TFRC",3,"TFRC"
"TGFB2",3,"TGFB2"
"TGM1",3,"TGM1"
"THAP4",3,"THAP4"
"THAP6",3,"THAP6"
"THOC6",3,"THOC6"
"THPO",3,"THPO"
"THRA",3,"THRA"
"TICAM1",3,"TICAM1"
"TIFAB",3,"TIFAB"
"TIGIT",3,"TIGIT"
"TIMELESS",3,"TIMELESS"
"TIMMDC1",3,"TIMMDC1"
"TJP2",3,"TJP2"
"TKT",3,"TKT"
"TLK2",3,"TLK2"
"TM6SF1",3,"TM6SF1"
"TM9SF2",3,"TM9SF2"
"TMC2",3,"TMC2"
"TMC7",3,"TMC7"
"TMCO3",3,"TMCO3"
"TMEM126B",3,"TMEM126B"
"TMEM143",3,"TMEM143"
"TMEM144",3,"TMEM144"
"TMEM155",3,"TMEM155"
"TMEM161B",3,"TMEM161B"
"TMEM174",3,"TMEM174"
"TMEM176A",3,"TMEM176A"
"TMEM18",3,"TMEM18"
"TMEM185A",3,"TMEM185A"
"TMEM187",3,"TMEM187"
"TMEM207",3,"TMEM207"
"TMEM246",3,"TMEM246"
"TMEM51",3,"TMEM51"
"TMEM55A",3,"TMEM55A"
"TMEM59L",3,"TMEM59L"
"TMEM63C",3,"TMEM63C"
"TMEM71",3,"TMEM71"
"TMEM74B",3,"TMEM74B"
"TMEM81",3,"TMEM81"
"TMEM99",3,"TMEM99"
"TMIGD1",3,"TMIGD1"
"TMOD3",3,"TMOD3"
"TMPO",3,"TMPO"
"TMPPE",3,"TMPPE"
"TMPRSS7",3,"TMPRSS7"
"TNFAIP3",3,"TNFAIP3"
"TNFAIP8L3",3,"TNFAIP8L3"
"TNFRSF11A",3,"TNFRSF11A"
"TNFSF18",3,"TNFSF18"
"TNKS1BP1",3,"TNKS1BP1"
"TNNI1",3,"TNNI1"
"TNNI3",3,"TNNI3"
"TNNT2",3,"TNNT2"
"TNS2",3,"TNS2"
"TOB2",3,"TOB2"
"TOP3B",3,"TOP3B"
"TP53I11",3,"TP53I11"
"TP53TG3D",3,"TP53TG3D"
"TPP1",3,"TPP1"
"TPSB2",3,"TPSB2"
"TRA2A",3,"TRA2A"
"TRAF3IP1",3,"TRAF3IP1"
"TRAF5",3,"TRAF5"
"TRAM2",3,"TRAM2"
"TRAV10",3,"TRAV10"
"TRAV17",3,"TRAV17"
"TRAV5",3,"TRAV5"
"TRDMT1",3,"TRDMT1"
"TRIB3",3,"TRIB3"
"TRIL",3,"TRIL"
"TRIM17",3,"TRIM17"
"TRIM23",3,"TRIM23"
"TRIM27",3,"TRIM27"
"TRIM37",3,"TRIM37"
"TRIM44",3,"TRIM44"
"TRIM46",3,"TRIM46"
"TRIM60",3,"TRIM60"
"TRIM71",3,"TRIM71"
"TRIP13",3,"TRIP13"
"TRIP6",3,"TRIP6"
"TRMT6",3,"TRMT6"
"TRPC4AP",3,"TRPC4AP"
"TRPV2",3,"TRPV2"
"TSC1",3,"TSC1"
"TSC22D1",3,"TSC22D1"
"TSC22D4",3,"TSC22D4"
"TSG101",3,"TSG101"
"TSGA13",3,"TSGA13"
"TSHB",3,"TSHB"
"TSKU",3,"TSKU"
"TSNAXIP1",3,"TSNAXIP1"
"TSPAN33",3,"TSPAN33"
"TSR1",3,"TSR1"
"TSSC1",3,"TSSC1"
"TTC22",3,"TTC22"
"TTC23",3,"TTC23"
"TTC27",3,"TTC27"
"TTC32",3,"TTC32"
"TTC7A",3,"TTC7A"
"TTF1",3,"TTF1"
"TTLL1",3,"TTLL1"
"TTLL5",3,"TTLL5"
"TTLL9",3,"TTLL9"
"TTYH3",3,"TTYH3"
"TUBA1A",3,"TUBA1A"
"TUBA3D",3,"TUBA3D"
"TWISTNB",3,"TWISTNB"
"TXNDC15",3,"TXNDC15"
"TYK2",3,"TYK2"
"U2AF2",3,"U2AF2"
"UBA2",3,"UBA2"
"UBD",3,"UBD"
"UBE2E3",3,"UBE2E3"
"UBE2Q2",3,"UBE2Q2"
"UBE3D",3,"UBE3D"
"UBN2",3,"UBN2"
"UBOX5",3,"UBOX5"
"UBQLN1",3,"UBQLN1"
"UBR3",3,"UBR3"
"UBR7",3,"UBR7"
"UBXN10",3,"UBXN10"
"UCHL5",3,"UCHL5"
"UGT1A3",3,"UGT1A3"
"UGT1A5",3,"UGT1A5"
"UGT1A9",3,"UGT1A9"
"ULK2",3,"ULK2"
"UNC13D",3,"UNC13D"
"UPF2",3,"UPF2"
"UPF3B",3,"UPF3B"
"UPP1",3,"UPP1"
"USHBP1",3,"USHBP1"
"USP14",3,"USP14"
"USP20",3,"USP20"
"USP35",3,"USP35"
"USP37",3,"USP37"
"USP44",3,"USP44"
"USP45",3,"USP45"
"USP49",3,"USP49"
"USPL1",3,"USPL1"
"UST",3,"UST"
"UTS2B",3,"UTS2B"
"UVSSA",3,"UVSSA"
"VAMP7",3,"VAMP7"
"VAT1L",3,"VAT1L"
"VAX2",3,"VAX2"
"VCP",3,"VCP"
"VEZT",3,"VEZT"
"VIT",3,"VIT"
"VMP1",3,"VMP1"
"VPS41",3,"VPS41"
"VPS45",3,"VPS45"
"VPS52",3,"VPS52"
"VPS8",3,"VPS8"
"VPS9D1",3,"VPS9D1"
"VSIG2",3,"VSIG2"
"VSNL1",3,"VSNL1"
"VTA1",3,"VTA1"
"VTN",3,"VTN"
"VWA7",3,"VWA7"
"WAS",3,"WAS"
"WBP2",3,"WBP2"
"WBP4",3,"WBP4"
"WBSCR28",3,"WBSCR28"
"WDR19",3,"WDR19"
"WDR25",3,"WDR25"
"WDR3",3,"WDR3"
"WDR45",3,"WDR45"
"WDR45B",3,"WDR45B"
"WDR6",3,"WDR6"
"WDR63",3,"WDR63"
"WDR75",3,"WDR75"
"WDYHV1",3,"WDYHV1"
"WIPI1",3,"WIPI1"
"WISP2",3,"WISP2"
"WLS",3,"WLS"
"WNT10A",3,"WNT10A"
"WNT10B",3,"WNT10B"
"WNT11",3,"WNT11"
"WNT7A",3,"WNT7A"
"WNT8A",3,"WNT8A"
"WNT8B",3,"WNT8B"
"WTAP",3,"WTAP"
"WWC2",3,"WWC2"
"XAB2",3,"XAB2"
"XAGE2",3,"XAGE2"
"XIAP",3,"XIAP"
"XK",3,"XK"
"XPO7",3,"XPO7"
"XPOT",3,"XPOT"
"XRCC1",3,"XRCC1"
"XRCC2",3,"XRCC2"
"XYLT2",3,"XYLT2"
"YIPF7",3,"YIPF7"
"YME1L1",3,"YME1L1"
"YTHDF1",3,"YTHDF1"
"ZACN",3,"ZACN"
"ZBTB21",3,"ZBTB21"
"ZBTB22",3,"ZBTB22"
"ZBTB34",3,"ZBTB34"
"ZBTB44",3,"ZBTB44"
"ZC3H12A",3,"ZC3H12A"
"ZC3H14",3,"ZC3H14"
"ZC3H7A",3,"ZC3H7A"
"ZCCHC13",3,"ZCCHC13"
"ZCCHC6",3,"ZCCHC6"
"ZCCHC7",3,"ZCCHC7"
"ZCWPW1",3,"ZCWPW1"
"ZDHHC15",3,"ZDHHC15"
"ZFAND2B",3,"ZFAND2B"
"ZFAND4",3,"ZFAND4"
"ZFP2",3,"ZFP2"
"ZFP90",3,"ZFP90"
"ZFYVE1",3,"ZFYVE1"
"ZG16B",3,"ZG16B"
"ZGPAT",3,"ZGPAT"
"ZKSCAN1",3,"ZKSCAN1"
"ZKSCAN8",3,"ZKSCAN8"
"ZMAT3",3,"ZMAT3"
"ZMIZ2",3,"ZMIZ2"
"ZMYM2",3,"ZMYM2"
"ZNF106",3,"ZNF106"
"ZNF146",3,"ZNF146"
"ZNF148",3,"ZNF148"
"ZNF155",3,"ZNF155"
"ZNF169",3,"ZNF169"
"ZNF174",3,"ZNF174"
"ZNF18",3,"ZNF18"
"ZNF182",3,"ZNF182"
"ZNF19",3,"ZNF19"
"ZNF211",3,"ZNF211"
"ZNF214",3,"ZNF214"
"ZNF253",3,"ZNF253"
"ZNF260",3,"ZNF260"
"ZNF268",3,"ZNF268"
"ZNF274",3,"ZNF274"
"ZNF280D",3,"ZNF280D"
"ZNF281",3,"ZNF281"
"ZNF284",3,"ZNF284"
"ZNF3",3,"ZNF3"
"ZNF300",3,"ZNF300"
"ZNF311",3,"ZNF311"
"ZNF341",3,"ZNF341"
"ZNF350",3,"ZNF350"
"ZNF395",3,"ZNF395"
"ZNF404",3,"ZNF404"
"ZNF416",3,"ZNF416"
"ZNF436",3,"ZNF436"
"ZNF44",3,"ZNF44"
"ZNF471",3,"ZNF471"
"ZNF473",3,"ZNF473"
"ZNF483",3,"ZNF483"
"ZNF486",3,"ZNF486"
"ZNF493",3,"ZNF493"
"ZNF507",3,"ZNF507"
"ZNF514",3,"ZNF514"
"ZNF528",3,"ZNF528"
"ZNF529",3,"ZNF529"
"ZNF552",3,"ZNF552"
"ZNF555",3,"ZNF555"
"ZNF570",3,"ZNF570"
"ZNF572",3,"ZNF572"
"ZNF594",3,"ZNF594"
"ZNF597",3,"ZNF597"
"ZNF600",3,"ZNF600"
"ZNF610",3,"ZNF610"
"ZNF621",3,"ZNF621"
"ZNF630",3,"ZNF630"
"ZNF646",3,"ZNF646"
"ZNF653",3,"ZNF653"
"ZNF664",3,"ZNF664"
"ZNF668",3,"ZNF668"
"ZNF692",3,"ZNF692"
"ZNF705A",3,"ZNF705A"
"ZNF707",3,"ZNF707"
"ZNF708",3,"ZNF708"
"ZNF713",3,"ZNF713"
"ZNF765",3,"ZNF765"
"ZNF774",3,"ZNF774"
"ZNF783",3,"ZNF783"
"ZNF786",3,"ZNF786"
"ZNF79",3,"ZNF79"
"ZNF793",3,"ZNF793"
"ZNF829",3,"ZNF829"
"ZNF836",3,"ZNF836"
"ZNF84",3,"ZNF84"
"ZNF844",3,"ZNF844"
"ZNF852",3,"ZNF852"
"ZNF92",3,"ZNF92"
"ZNF93",3,"ZNF93"
"ZNRF3",3,"ZNRF3"
"ZRSR2",3,"ZRSR2"
"ZSCAN25",3,"ZSCAN25"
"ZSCAN29",3,"ZSCAN29"
"ZSWIM4",3,"ZSWIM4"
"ZW10",3,"ZW10"
"ZWILCH",3,"ZWILCH"
"A1BG",2,"A1BG"
"AADAC",2,"AADAC"
"AANAT",2,"AANAT"
"AASDHPPT",2,"AASDHPPT"
"ABCA1",2,"ABCA1"
"ABCB6",2,"ABCB6"
"ABCC2",2,"ABCC2"
"ABCD3",2,"ABCD3"
"ABCD4",2,"ABCD4"
"ABHD1",2,"ABHD1"
"ABHD10",2,"ABHD10"
"ABHD13",2,"ABHD13"
"ABHD17B",2,"ABHD17B"
"ABHD2",2,"ABHD2"
"ABHD3",2,"ABHD3"
"ABLIM1",2,"ABLIM1"
"AC093838.4",2,"AC093838.4"
"ACAD9",2,"ACAD9"
"ACADL",2,"ACADL"
"ACER3",2,"ACER3"
"ACMSD",2,"ACMSD"
"ACO1",2,"ACO1"
"ACO2",2,"ACO2"
"ACOT11",2,"ACOT11"
"ACOT7",2,"ACOT7"
"ACOX2",2,"ACOX2"
"ACP2",2,"ACP2"
"ACP5",2,"ACP5"
"ACSBG2",2,"ACSBG2"
"ACSF3",2,"ACSF3"
"ACSL3",2,"ACSL3"
"ACSL5",2,"ACSL5"
"ACSM1",2,"ACSM1"
"ACSM3",2,"ACSM3"
"ACTB",2,"ACTB"
"ACTR1A",2,"ACTR1A"
"ACTR2",2,"ACTR2"
"ACTR3",2,"ACTR3"
"ACTR5",2,"ACTR5"
"ACTR8",2,"ACTR8"
"ACVR1",2,"ACVR1"
"ACVR2B",2,"ACVR2B"
"ADA",2,"ADA"
"ADAD2",2,"ADAD2"
"ADAM10",2,"ADAM10"
"ADAM21",2,"ADAM21"
"ADAM9",2,"ADAM9"
"ADAP2",2,"ADAP2"
"ADCK2",2,"ADCK2"
"ADCY6",2,"ADCY6"
"ADCYAP1",2,"ADCYAP1"
"ADIPOR1",2,"ADIPOR1"
"ADORA1",2,"ADORA1"
"ADORA2A",2,"ADORA2A"
"ADPRHL1",2,"ADPRHL1"
"ADPRM",2,"ADPRM"
"ADRB2",2,"ADRB2"
"ADSSL1",2,"ADSSL1"
"AEN",2,"AEN"
"AFAP1",2,"AFAP1"
"AGBL5",2,"AGBL5"
"AGFG2",2,"AGFG2"
"AGMAT",2,"AGMAT"
"AGPAT3",2,"AGPAT3"
"AGPAT9",2,"AGPAT9"
"AGPS",2,"AGPS"
"AHCY",2,"AHCY"
"AHCYL1",2,"AHCYL1"
"AHDC1",2,"AHDC1"
"AHRR",2,"AHRR"
"AHSP",2,"AHSP"
"AICDA",2,"AICDA"
"AIDA",2,"AIDA"
"AIFM2",2,"AIFM2"
"AIG1",2,"AIG1"
"AIRE",2,"AIRE"
"AKAP14",2,"AKAP14"
"AKAP8",2,"AKAP8"
"AKAP8L",2,"AKAP8L"
"AKR1B1",2,"AKR1B1"
"AKR1C1",2,"AKR1C1"
"AKR1C4",2,"AKR1C4"
"AKR1E2",2,"AKR1E2"
"AKR7L",2,"AKR7L"
"AKT1S1",2,"AKT1S1"
"ALAS2",2,"ALAS2"
"ALDH1A3",2,"ALDH1A3"
"ALDH2",2,"ALDH2"
"ALDH3A1",2,"ALDH3A1"
"ALDH3A2",2,"ALDH3A2"
"ALDH3B2",2,"ALDH3B2"
"ALDH9A1",2,"ALDH9A1"
"ALG1",2,"ALG1"
"ALG1L",2,"ALG1L"
"ALKBH2",2,"ALKBH2"
"ALOX15",2,"ALOX15"
"ALOXE3",2,"ALOXE3"
"ALPPL2",2,"ALPPL2"
"AMBN",2,"AMBN"
"AMELX",2,"AMELX"
"AMELY",2,"AMELY"
"AMFR",2,"AMFR"
"AMMECR1L",2,"AMMECR1L"
"AMOTL2",2,"AMOTL2"
"ANGPTL7",2,"ANGPTL7"
"ANKFY1",2,"ANKFY1"
"ANKH",2,"ANKH"
"ANKMY2",2,"ANKMY2"
"ANKRA2",2,"ANKRA2"
"ANKRD13C",2,"ANKRD13C"
"ANKRD13D",2,"ANKRD13D"
"ANKRD36B",2,"ANKRD36B"
"ANKRD42",2,"ANKRD42"
"ANKRD52",2,"ANKRD52"
"ANKRD53",2,"ANKRD53"
"ANKS4B",2,"ANKS4B"
"ANKZF1",2,"ANKZF1"
"ANO10",2,"ANO10"
"ANP32B",2,"ANP32B"
"ANXA13",2,"ANXA13"
"ANXA3",2,"ANXA3"
"ANXA9",2,"ANXA9"
"AP1G2",2,"AP1G2"
"AP3D1",2,"AP3D1"
"AP3S1",2,"AP3S1"
"AP4B1",2,"AP4B1"
"AP4M1",2,"AP4M1"
"AP5B1",2,"AP5B1"
"AP5S1",2,"AP5S1"
"APBA1",2,"APBA1"
"APBB3",2,"APBB3"
"APEX2",2,"APEX2"
"API5",2,"API5"
"APLP1",2,"APLP1"
"APOA1",2,"APOA1"
"APOBEC1",2,"APOBEC1"
"APOBEC3A",2,"APOBEC3A"
"APOBEC3H",2,"APOBEC3H"
"APOBEC4",2,"APOBEC4"
"APOOL",2,"APOOL"
"APP",2,"APP"
"APPL1",2,"APPL1"
"APRT",2,"APRT"
"AQP12B",2,"AQP12B"
"AQP8",2,"AQP8"
"AQP9",2,"AQP9"
"ARF5",2,"ARF5"
"ARFGAP1",2,"ARFGAP1"
"ARFGAP2",2,"ARFGAP2"
"ARHGAP39",2,"ARHGAP39"
"ARHGAP44",2,"ARHGAP44"
"ARHGEF1",2,"ARHGEF1"
"ARHGEF18",2,"ARHGEF18"
"ARHGEF19",2,"ARHGEF19"
"ARID3A",2,"ARID3A"
"ARID3B",2,"ARID3B"
"ARL13B",2,"ARL13B"
"ARL2",2,"ARL2"
"ARL2BP",2,"ARL2BP"
"ARL4D",2,"ARL4D"
"ARL6IP1",2,"ARL6IP1"
"ARMC6",2,"ARMC6"
"ARMC7",2,"ARMC7"
"ARMC9",2,"ARMC9"
"ARMT1",2,"ARMT1"
"ARNT",2,"ARNT"
"ARNTL2",2,"ARNTL2"
"ARPC2",2,"ARPC2"
"ARR3",2,"ARR3"
"ARRB2",2,"ARRB2"
"ARSE",2,"ARSE"
"ART1",2,"ART1"
"ART3",2,"ART3"
"ART5",2,"ART5"
"ARV1",2,"ARV1"
"ARX",2,"ARX"
"ASAH1",2,"ASAH1"
"ASB11",2,"ASB11"
"ASB9",2,"ASB9"
"ASCL3",2,"ASCL3"
"ASF1B",2,"ASF1B"
"ASGR2",2,"ASGR2"
"ASH2L",2,"ASH2L"
"ASIC1",2,"ASIC1"
"ASNSD1",2,"ASNSD1"
"ASPH",2,"ASPH"
"ASS1",2,"ASS1"
"ASUN",2,"ASUN"
"ATAD1",2,"ATAD1"
"ATE1",2,"ATE1"
"ATF4",2,"ATF4"
"ATF6",2,"ATF6"
"ATF7",2,"ATF7"
"ATG16L1",2,"ATG16L1"
"ATG4D",2,"ATG4D"
"ATG5",2,"ATG5"
"ATG7",2,"ATG7"
"ATHL1",2,"ATHL1"
"ATL1",2,"ATL1"
"ATMIN",2,"ATMIN"
"ATP11A",2,"ATP11A"
"ATP11AUN",2,"ATP11AUN"
"ATP6AP2",2,"ATP6AP2"
"ATP6V0E2",2,"ATP6V0E2"
"ATP6V1A",2,"ATP6V1A"
"ATP6V1B1",2,"ATP6V1B1"
"ATP6V1B2",2,"ATP6V1B2"
"ATP6V1C1",2,"ATP6V1C1"
"ATPIF1",2,"ATPIF1"
"ATXN3",2,"ATXN3"
"ATXN7",2,"ATXN7"
"ATXN7L2",2,"ATXN7L2"
"AVEN",2,"AVEN"
"AVIL",2,"AVIL"
"AVPR1B",2,"AVPR1B"
"AXIN2",2,"AXIN2"
"AXL",2,"AXL"
"AZIN1",2,"AZIN1"
"B3GALT5",2,"B3GALT5"
"B3GNT4",2,"B3GNT4"
"B3GNT5",2,"B3GNT5"
"B3GNT7",2,"B3GNT7"
"B4GALT4",2,"B4GALT4"
"B4GALT6",2,"B4GALT6"
"B4GAT1",2,"B4GAT1"
"BAALC",2,"BAALC"
"BAG3",2,"BAG3"
"BAIAP2L1",2,"BAIAP2L1"
"BANP",2,"BANP"
"BARHL1",2,"BARHL1"
"BATF2",2,"BATF2"
"BAZ1B",2,"BAZ1B"
"BBC3",2,"BBC3"
"BBS5",2,"BBS5"
"BCAP29",2,"BCAP29"
"BCAR3",2,"BCAR3"
"BCAS1",2,"BCAS1"
"BCDIN3D",2,"BCDIN3D"
"BCL2L11",2,"BCL2L11"
"BCO1",2,"BCO1"
"BDKRB2",2,"BDKRB2"
"BEGAIN",2,"BEGAIN"
"BEST1",2,"BEST1"
"BFSP1",2,"BFSP1"
"BICD2",2,"BICD2"
"BIRC3",2,"BIRC3"
"BLID",2,"BLID"
"BLOC1S4",2,"BLOC1S4"
"BLVRA",2,"BLVRA"
"BLZF1",2,"BLZF1"
"BMP8A",2,"BMP8A"
"BNIP1",2,"BNIP1"
"BOLA1",2,"BOLA1"
"BOP1",2,"BOP1"
"BORA",2,"BORA"
"BPIFA2",2,"BPIFA2"
"BPIFB3",2,"BPIFB3"
"BPIFB4",2,"BPIFB4"
"BRAP",2,"BRAP"
"BRD1",2,"BRD1"
"BRD2",2,"BRD2"
"BRD7",2,"BRD7"
"BSCL2",2,"BSCL2"
"BSDC1",2,"BSDC1"
"BST1",2,"BST1"
"BST2",2,"BST2"
"BTBD17",2,"BTBD17"
"BTBD7",2,"BTBD7"
"BTD",2,"BTD"
"BTN2A1",2,"BTN2A1"
"BTN3A2",2,"BTN3A2"
"BTN3A3",2,"BTN3A3"
"BTNL3",2,"BTNL3"
"BUB3",2,"BUB3"
"C10orf128",2,"C10orf128"
"C10orf54",2,"C10orf54"
"C11orf57",2,"C11orf57"
"C11orf65",2,"C11orf65"
"C11orf85",2,"C11orf85"
"C11orf87",2,"C11orf87"
"C11orf88",2,"C11orf88"
"C12orf4",2,"C12orf4"
"C12orf45",2,"C12orf45"
"C12orf60",2,"C12orf60"
"C14orf105",2,"C14orf105"
"C14orf166",2,"C14orf166"
"C14orf177",2,"C14orf177"
"C15orf39",2,"C15orf39"
"C15orf52",2,"C15orf52"
"C16orf62",2,"C16orf62"
"C16orf78",2,"C16orf78"
"C17orf104",2,"C17orf104"
"C17orf47",2,"C17orf47"
"C18orf54",2,"C18orf54"
"C19orf18",2,"C19orf18"
"C19orf47",2,"C19orf47"
"C1GALT1C1",2,"C1GALT1C1"
"C1orf106",2,"C1orf106"
"C1orf110",2,"C1orf110"
"C1orf131",2,"C1orf131"
"C1orf189",2,"C1orf189"
"C1orf216",2,"C1orf216"
"C1orf226",2,"C1orf226"
"C1orf27",2,"C1orf27"
"C1orf50",2,"C1orf50"
"C1QC",2,"C1QC"
"C1QL2",2,"C1QL2"
"C1QTNF3",2,"C1QTNF3"
"C1RL",2,"C1RL"
"C2",2,"C2"
"C22orf29",2,"C22orf29"
"C2CD2",2,"C2CD2"
"C2orf40",2,"C2orf40"
"C2orf42",2,"C2orf42"
"C2orf47",2,"C2orf47"
"C2orf57",2,"C2orf57"
"C3orf17",2,"C3orf17"
"C3orf38",2,"C3orf38"
"C3orf70",2,"C3orf70"
"C4orf3",2,"C4orf3"
"C4orf51",2,"C4orf51"
"C5orf22",2,"C5orf22"
"C6orf165",2,"C6orf165"
"C6orf203",2,"C6orf203"
"C6orf89",2,"C6orf89"
"C7orf25",2,"C7orf25"
"C7orf33",2,"C7orf33"
"C7orf55-LUC7L2",2,"C7orf55-LUC7L2"
"C7orf57",2,"C7orf57"
