,logFC,AveExpr,t,P.Value,adj.P.Val,B
C1orf112,-0.335771215890483,2.73932731122149,-14.7328624806006,6.43373101449533e-34,1.32852473467674e-31,66.4439712459102
TROAP,-0.263147002835358,2.90340533501197,-14.7264713732991,6.73507848400675e-34,1.37336669137003e-31,66.3986212426331
DONSON,-0.268558331810474,3.00233609535952,-14.7204227475743,7.03327249674546e-34,1.41646634863468e-31,66.355700664388
KIF14,-0.439954473561119,2.84911203010489,-14.6523150417554,1.14560052735339e-33,2.27904651252632e-31,65.8723651767817
MAD2L1,-0.350205520692865,2.92281476482752,-14.5725564101498,2.028607624519e-33,3.93960430699744e-31,65.3062438605297
SKP2,-0.354793261209613,2.89837787084282,-14.5531833628437,2.33068061515964e-33,4.4729873970705e-31,65.168720192538
OIP5,-0.420370280631321,2.84587661687796,-14.5231101259255,2.89113724203416e-33,5.42104848612682e-31,64.9552283311224
CDCA5,-0.33830494223938,3.01267866792439,-14.5160577578976,3.04099695782672e-33,5.63724811057129e-31,64.9051613215194
CDC45,-0.33024459255449,2.93829296199781,-14.4852287420465,3.79280469021619e-33,6.87466921238853e-31,64.6862887591284
HJURP,-0.38714840689023,2.93379384353799,-14.4779526073288,3.9958174317462e-33,7.140494894763e-31,64.6346296551265
UBE2T,-0.30968519023547,3.1830478386974,-14.4768676551466,4.02700625463248e-33,7.140494894763e-31,64.6269266568665
PARPBP,-0.323886497305385,2.37578423314869,-14.4623889423361,4.46729441603747e-33,7.83601868912034e-31,64.5241286397473
CDC7,-0.368996176006918,2.97096764568517,-14.4449145975822,5.06327547022387e-33,8.7869375261449e-31,64.4000586405546
NDC80,-0.517303728669903,2.89069382176075,-14.354948933804,9.64851946098505e-33,1.61915267730125e-30,63.7612431511888
CKAP2L,-0.308418316750416,2.87726276980385,-14.3186099917582,1.25192522681985e-32,2.06289456819315e-30,63.503193601489
CDK1,-0.336160095834015,2.9907759061708,-14.2534196857425,1.9976297879583e-32,3.22646878524394e-30,63.0402449293452
KIF18B,-0.347194306207689,2.9995487120931,-14.2501032965196,2.04568674380397e-32,3.27169488741903e-30,63.0166930497223
WDHD1,-0.320876768037128,2.50482983258635,-14.1509730786771,4.16336464932999e-32,6.37765283040326e-30,62.3126888027981
