,logFC,AveExpr,t,P.Value,adj.P.Val,B
MYBL2,-3.32965741983659,5.05642896449195,-29.7218172899155,3.58718368243743e-91,9.45271375777432e-89,197.525296342128
BRIP1,-1.7336485311161,1.80010629899049,-29.6296565816832,7.17199016429835e-91,1.86471744271757e-88,196.834293775759
CEP55,-2.56526342703803,4.01338668112703,-29.6019347559884,8.83561009205575e-91,2.26703153677746e-88,196.626230676732
CDC20,-2.83951099018235,5.15880324380605,-29.546059919665,1.34575770926621e-90,3.40808770528457e-88,196.206572590095
CDC25A,-1.89854058521055,2.15192803539872,-29.4653944297225,2.47213351329481e-90,6.18033378323703e-88,195.600022667811
CDK1,-2.41446894376495,4.34928042637864,-29.4196115483878,3.49242092857953e-90,8.62053267181024e-88,195.255399988645
MCM4,-2.12287631050427,5.10133819851033,-29.3926200035835,4.28199062153417e-90,1.04373521399895e-87,195.052101529047
UHRF1,-2.24225161887119,3.01717903132658,-29.3057295980406,8.2579815487952e-90,1.98803259508033e-87,194.397022896073
RAD51,-1.95051114735842,2.74626517905734,-29.298815738514,8.70136075172609e-90,2.06922603242267e-87,194.344857336089
KPNA2,-2.14625565608778,6.42554259269658,-29.2610219857169,1.15822385656645e-89,2.72112833771635e-87,194.059593915737
MKI67,-2.6497865150251,3.85356720598689,-28.9307201452649,1.42105508081612e-88,3.29887786618027e-86,191.558822196856
HASPIN,-1.67723711015589,1.85167460417016,-28.9213306044463,1.52633491961991e-88,3.50159187442215e-86,191.487530835401
CCNB1,-2.35096514148388,5.25558216460325,-28.6546602145245,1.1673047880179e-87,2.64679574027315e-85,189.458153052997
CENPF,-2.58458502661867,3.47468995416012,-28.5933014368548,1.8664926611702e-87,4.18351803365734e-85,188.989939516266
MTFR2,-1.89482772007376,2.33955718074513,-28.5442591379334,2.71705558766188e-87,6.0207481772053e-85,188.615368753426
BLM,-1.66692700592114,2.26314205808997,-28.4644561729352,5.00879809228953e-87,1.09743328988366e-84,188.005209344916
MCM6,-1.83589596646851,5.1943210185152,-28.3961533721465,8.45986499198979e-87,1.83297074826445e-84,187.482341318437
AURKB,-2.55159759411594,3.79414544497376,-28.0391141270569,1.32242859269939e-85,2.83377555578441e-83,184.739607377645
DSCC1,-1.99616907543774,3.02633067677791,-27.9949761996364,1.85976306224312e-85,3.94188909931966e-83,184.399433681391
ORC6,-1.85952069197571,2.48145417835822,-27.9311644316545,3.04604403163625e-85,6.38686651794698e-83,183.90720092674
MAD2L1,-2.18977194675079,3.18562534887111,-27.807556174086,7.93297231504645e-85,1.64566978875964e-82,182.952258507347
GINS1,-2.17828851307305,3.30313542029892,-27.6522535068538,2.64785324313746e-84,5.43506718328215e-82,181.749751921114
FAM72B,-1.34413871515764,1.0205239953185,-27.6256198101036,3.25683017756448e-84,6.61543629817784e-82,181.543225107459
BIRC5,-2.81426948335957,4.45714481262493,-27.5867969636133,4.40462364972429e-84,8.85465579068285e-82,181.242021007458
SGO2,-1.71660666491284,2.52714953334214,-27.4269881837551,1.52923188726029e-83,3.04285936750772e-81,180.000179841851
FEN1,-1.77674676733152,5.24793366850568,-27.221750531295,7.59826789613435e-83,1.49662852499616e-80,178.400664264881
WDHD1,-1.84782213145147,2.93327671119295,-27.1172430026848,1.72229993989953e-82,3.35848488280408e-80,177.584180584531
TIMELESS,-1.79654670244606,4.57359929771914,-26.9715638354605,5.40115266325127e-82,1.04279680132079e-79,176.443783460871
CDC25C,-1.97450857399571,2.21592562789978,-26.9686906182161,5.52443465239878e-82,1.05614191884094e-79,176.421265172367
FAM72A,-1.07626794690548,0.917077748138724,-26.8272539525504,1.68001362489112e-81,3.18060831896862e-79,175.311525468412
FANCD2,-1.37784662461893,2.70879244331409,-26.8122507489499,1.89065854596625e-81,3.54498477368672e-79,175.193663018049
KIF20A,-2.21943749930012,3.6852459888858,-26.8035629724266,2.02453173666348e-81,3.74037516232751e-79,175.125400772631
DEPDC1B,-2.21154772378619,2.52052259602575,-26.8030186039512,2.03322957541906e-81,3.74037516232751e-79,175.121123211319
