"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
"18",0,0.113149847094801,0.288025889967638,0.209230769230769,0.386706948640483,0.407407407407407,0.375,0,0,0,0.003125,0.667701863354037,0.310344827586207,0.00946372239747634,0,0.407407407407407,0.0418006430868167,1,0.392523364485981,0,0,0,0.00311526479750779,0,0,0,0,0,0.0123076923076923,0,0.00946372239747634,0,0.0126182965299685,0,0.00317460317460317,0,0,0.0559006211180124,0.00311526479750779,0.00307692307692308,0,0.092948717948718,0,0,0.0426829268292683,0.116923076923077,0.0276923076923077,0,0,0.018018018018018,0,0.0688524590163934,0.608024691358025,0,0,0.405144694533762,0,0.0392749244712991,0.0344827586206897,0.355828220858896,0,0.401215805471125,0.414330218068536,0.018018018018018,0.447530864197531,0.00914634146341463,0,0,0,0.0181268882175227,0.0736196319018405,0.40655737704918,0.0536277602523659,0.41358024691358,0.693290734824281,0,0,0,0,0,0.819354838709677,0.176470588235294
"19",0,0.312302839116719,0.676470588235294,0.493630573248408,0.981308411214953,0.954248366013072,0.882736156351791,0,0,0,0.0746753246753247,0.0791139240506329,0.647058823529412,0,0,0.897435897435897,0.221476510067114,0.392523364485981,1,0,0,0,0,0,0,0,0,0,0.00952380952380952,0,0,0,0.11437908496732,0,0,0,0,0.242622950819672,0,0,0,0.345276872964169,0,0,0,0.347003154574132,0,0,0,0.0220125786163522,0.003125,0.297945205479452,0.00964630225080386,0,0,0.904290429042904,0,0.150943396226415,0.155339805825243,0.937704918032787,0,0.886435331230284,0.903225806451613,0,0.666666666666667,0,0,0,0,0,0.224924012158055,0.912457912457912,0.221498371335505,0.876623376623377,0.0915032679738562,0,0,0,0,0,0.0673400673400673,0.383870967741935
"20",0.247678018575851,0,0,0,0,0,0,0,0.916932907348243,0,0,0,0.00617283950617284,0.00611620795107034,0.0364741641337386,0,0,0,0,1,0,0,0.0212121212121212,0.012779552715655,0.0065359477124183,0.0595611285266458,0.726443768996961,0.43312101910828,0.00602409638554217,0.947040498442368,0.218354430379747,0.580128205128205,0,0.809090909090909,0.0380952380952381,0.869565217391304,0.00925925925925926,0,0.00311526479750779,0,0.210191082802548,0,0.0526315789473684,0.630094043887147,0,0,0,0.00946372239747634,0.764516129032258,0.0029940119760479,0.126153846153846,0,0,0,0.0193548387096774,0,0.204819277108434,0,0,0,0,0,0,0.217125382262997,0,0.0219435736677116,0.377300613496933,0.858490566037736,0.00903614457831325,0,0,0,0,0,0.00313479623824451,0.00306748466257669,0.00326797385620915,0.377358490566038,0.357366771159875,0.00630914826498423,0,0
"21",0,0,0,0,0,0,0,0,0,0.856687898089172,0,0,0.0284810126582278,0.156549520766773,0,0,0,0,0,0,1,0,0.229559748427673,0,0.0670926517571885,0,0,0,0.0778816199376947,0,0.00321543408360129,0,0.0285714285714286,0.0184615384615385,0.477124183006536,0,0.774603174603175,0,0.173633440514469,0.134146341463415,0,0,0,0,0.358490566037736,0,0.229559748427673,0.880877742946709,0.00333333333333333,0.140672782874618,0,0,0,0,0.00320512820512821,0,0,0,0,0,0.574675324675325,0,0,0.36,0,0,0.429012345679012,0,0,0.0640243902439024,0,0,0,0,0,0.241486068111455,0.675496688741722,0.00321543408360129,0.0157232704402516,0.603715170278638,0,0
"22",0,0,0,0,0,0,0,0.401253918495298,0,0.0314465408805031,0.136807817589577,0,0,0.00311526479750779,0.0815047021943574,0,0,0,0,0,0,1,0,0.481967213114754,0,0.36741214057508,0,0,0,0,0.00320512820512821,0,0.0454545454545455,0,0.00336700336700337,0,0,0.0266666666666667,0,0.759493670886076,0.358306188925081,0,0.309210526315789,0.00319488817891374,0.60586319218241,0.0987261146496815,0,0,0.0299003322259136,0.55379746835443,0.00307692307692308,0.0206896551724138,0.0130293159609121,0.905228758169935,0.00334448160535117,0,0.00632911392405063,0.0438871473354232,0.00325732899022801,0,0,0,0,0.0414012738853503,0,0.195439739413681,0,0,0.513931888544892,0.0796178343949045,0,0,0.0693069306930693,0,0,0.531847133757962,0,0,0,0,0,0
"23",0,0,0.0655737704918033,0.00304878048780488,0,0,0,0,0,0.151702786377709,0.00647249190938511,0,0.154088050314465,0.636085626911315,0.00306748466257669,0,0,0.00311526479750779,0,0.0212121212121212,0.229559748427673,0,1,0,0.00977198697068404,0,0,0,0.871951219512195,0.0129032258064516,0.170807453416149,0.00326797385620915,0.00636942675159236,0.00308641975308642,0.372549019607843,0,0.203821656050955,0,0.993846153846154,0,0.0032258064516129,0,0,0,0.0344827586206897,0,0.831168831168831,0.178913738019169,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0.15359477124183,0,0,0.036697247706422,0.00317460317460317,0,0.0909090909090909,0,0,0.713846153846154,0,0,0,0,0.00961538461538462,0.00317460317460317,0.407894736842105,0.0507936507936508,0,0.164596273291925,0.00327868852459016,0
"24",0,0,0,0.00307692307692308,0,0,0,0.873417721518987,0,0,0.0216049382716049,0,0,0.0846394984326019,0.32398753894081,0,0,0,0,0.012779552715655,0,0.481967213114754,0,1,0.0194174757281553,0.79672131147541,0.05,0,0,0,0.128125,0,0.00983606557377049,0,0.0033003300330033,0,0,0,0,0.0943396226415094,0.831715210355987,0,0.576051779935275,0.0317460317460317,0.0253164556962025,0.0507936507936508,0,0,0.0718954248366013,0.00934579439252336,0.101851851851852,0,0.0445859872611465,0.506410256410256,0.115015974440895,0,0.049079754601227,0.0689655172413793,0,0,0,0,0,0.00309597523219814,0,0.609677419354839,0.00634920634920635,0.00318471337579618,0.895061728395062,0.0364741641337386,0,0,0.0126984126984127,0,0,0.0125786163522013,0,0,0,0,0,0
"25",0.378378378378378,0,0,0,0,0,0,0.00318471337579618,0.00996677740863787,0.0571428571428571,0,0,0.00673400673400673,0.059016393442623,0.60586319218241,0,0,0,0,0.0065359477124183,0.0670926517571885,0,0.00977198697068404,0.0194174757281553,1,0.07,0.00662251655629139,0.284280936454849,0.00325732899022801,0.00657894736842105,0.00977198697068404,0.285234899328859,0.0693069306930693,0.0315457413249211,0.131756756756757,0.0130718954248366,0.169381107491857,0,0.00327868852459016,0,0.0397350993377483,0.0103092783505155,0.0641891891891892,0.0262295081967213,0.0323624595469256,0,0.0288461538461538,0.115131578947368,0.0204081632653061,0,0.586885245901639,0,0,0,0.7,0,0.335443037974684,0.00949367088607595,0,0,0.331058020477816,0,0,0.00324675324675325,0,0.208469055374593,0.123417721518987,0.00337837837837838,0,0.00315457413249211,0,0,0.00326797385620915,0,0,0.00320512820512821,0.00704225352112676,0.311897106109325,0.255813953488372,0.362179487179487,0,0
"26",0.0132013201320132,0,0,0.0222929936305732,0,0,0,0.634069400630915,0.0360655737704918,0,0.00319488817891374,0,0,0.060126582278481,0.248427672955975,0,0,0,0,0.0595611285266458,0,0.36741214057508,0,0.79672131147541,0.07,1,0.263843648208469,0.0681818181818182,0,0.054421768707483,0.225806451612903,0.0610169491525424,0,0.0569620253164557,0.0299003322259136,0.0819672131147541,0.00314465408805031,0,0,0.0830769230769231,0.590163934426229,0,0.762820512820513,0.0129032258064516,0.0638977635782748,0,0,0.00967741935483871,0.0819112627986348,0.0379746835443038,0.108626198083067,0,0.0553745928338762,0.444805194805195,0.114754098360656,0,0.00925925925925926,0,0,0,0,0,0,0.0382165605095541,0,0.45928338762215,0.0375,0.0524590163934426,0.843076923076923,0.0288461538461538,0,0,0.00324675324675325,0,0,0.0341614906832298,0,0.0129032258064516,0,0,0,0
"27",0.280254777070064,0,0,0.00309597523219814,0,0,0,0,0.838709677419355,0.018348623853211,0,0,0,0,0,0,0,0,0,0.726443768996961,0,0,0,0.05,0.00662251655629139,0.263843648208469,1,0.493630573248408,0,0.77491961414791,0.160377358490566,0.459459459459459,0,0.763239875389408,0.0353697749196141,0.855828220858896,0.00311526479750779,0,0,0.0275229357798165,0.0888888888888889,0,0.237012987012987,0.614649681528662,0.00319488817891374,0,0,0.00323624595469256,0.687707641196013,0.0185758513931889,0.0154320987654321,0,0,0.101910828025478,0.00946372239747634,0,0.228395061728395,0,0,0,0,0,0,0.285714285714286,0,0.00949367088607595,0.334355828220859,0.813504823151125,0.148484848484848,0.003125,0,0,0,0,0,0.0307692307692308,0,0.221518987341772,0.391849529780564,0,0,0
